Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     11.86     0.00    12894     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00     11.86     0.00    12487     0.00     0.00  std::thread&& std::forward<std::thread>(std::remove_reference<std::thread>::type&)
  0.00     11.86     0.00    10064     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator-(long) const
  0.00     11.86     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00     11.86     0.00    10000     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00     11.86     0.00     9849     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::back()
  0.00     11.86     0.00     9056     0.00     0.00  normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}& std::__get_helper<0ul, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>(std::_Tuple_impl<0ul, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>&)
  0.00     11.86     0.00     8928     0.00     0.00  std::__new_allocator<std::thread>::deallocate(std::thread*, unsigned long)
  0.00     11.86     0.00     8885     0.00     0.93  void std::thread::_Invoker<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>)
  0.00     11.86     0.00     8838     0.00     0.00  std::remove_reference<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>&>::type&& std::move<std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>&>(std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>&)
  0.00     11.86     0.00     8753     0.00     0.95  void std::__invoke_impl<void, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>(std::__invoke_other, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}&&)
  0.00     11.86     0.00     8701     0.00     0.00  std::tuple_element<0ul, std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}> >::type&& std::get<0ul, normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>(std::tuple<normalizeTextParallel(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::{lambda()#1}>&&)
